Date,Team 1,FT,HT,Team 2
18/01/2025,West Ham,0-2,0-0,Crystal Palace
18/01/2025,Arsenal,2-2,1-0,Aston Villa
19/01/2025,Everton,3-2,3-0,Tottenham
19/01/2025,Man United,1-3,1-1,Brighton
19/01/2025,Nott'm Forest,3-2,3-0,Southampton
19/01/2025,Ipswich,0-6,0-3,Man City
20/01/2025,Chelsea,3-1,1-1,Wolves
25/01/2025,Bournemouth,5-0,1-0,Nott'm Forest
25/01/2025,Brighton,0-1,0-1,Everton
25/01/2025,Liverpool,4-1,3-0,Ipswich
25/01/2025,Southampton,1-3,1-2,Newcastle
25/01/2025,Wolves,0-1,0-0,Arsenal
25/01/2025,Man City,3-1,1-1,Chelsea
26/01/2025,Crystal Palace,1-2,0-0,Brentford
26/01/2025,Tottenham,1-2,1-0,Leicester
26/01/2025,Aston Villa,1-1,1-0,West Ham
26/01/2025,Fulham,0-1,0-0,Man United
01/02/2025,Nott'm Forest,7-0,3-0,Brighton
01/02/2025,Bournemouth,0-2,0-1,Liverpool
01/02/2025,Everton,4-0,3-0,Leicester
01/02/2025,Ipswich,1-2,1-1,Southampton
01/02/2025,Newcastle,1-2,1-0,Fulham
01/02/2025,Wolves,2-0,1-0,Aston Villa
02/02/2025,Brentford,0-2,0-1,Tottenham
02/02/2025,Man United,0-2,0-0,Crystal Palace
02/02/2025,Arsenal,5-1,1-0,Man City
03/02/2025,Chelsea,2-1,0-1,West Ham
12/02/2025,Everton,2-2,1-1,Liverpool
14/02/2025,Brighton,3-0,2-0,Chelsea
15/02/2025,Leicester,0-2,0-0,Arsenal
15/02/2025,Aston Villa,1-1,0-0,Ipswich
15/02/2025,Fulham,2-1,1-1,Nott'm Forest
15/02/2025,Man City,4-0,3-0,Newcastle
15/02/2025,Southampton,1-3,0-2,Bournemouth
15/02/2025,West Ham,0-1,0-1,Brentford
15/02/2025,Crystal Palace,1-2,0-1,Everton
16/02/2025,Liverpool,2-1,2-0,Wolves
16/02/2025,Tottenham,1-0,1-0,Man United
19/02/2025,Aston Villa,2-2,2-1,Liverpool
21/02/2025,Leicester,0-4,0-3,Brentford
22/02/2025,Everton,2-2,2-0,Man United
22/02/2025,Arsenal,0-1,0-1,West Ham
22/02/2025,Bournemouth,0-1,0-1,Wolves
22/02/2025,Fulham,0-2,0-1,Crystal Palace
22/02/2025,Ipswich,1-4,1-2,Tottenham
22/02/2025,Southampton,0-4,0-1,Brighton
22/02/2025,Aston Villa,2-1,0-1,Chelsea
23/02/2025,Newcastle,4-3,4-1,Nott'm Forest
23/02/2025,Man City,0-2,0-2,Liverpool
25/02/2025,Brighton,2-1,1-0,Bournemouth
25/02/2025,Crystal Palace,4-1,1-0,Aston Villa
25/02/2025,Wolves,1-2,1-1,Fulham
25/02/2025,Chelsea,4-0,3-0,Southampton
26/02/2025,Brentford,1-1,1-0,Everton
26/02/2025,Man United,3-2,2-2,Ipswich
26/02/2025,Nott'm Forest,0-0,0-0,Arsenal
26/02/2025,Tottenham,0-1,0-1,Man City
26/02/2025,Liverpool,2-0,1-0,Newcastle
27/02/2025,West Ham,2-0,2-0,Leicester
08/03/2025,Nott'm Forest,1-0,0-0,Man City
08/03/2025,Brighton,2-1,1-1,Fulham
08/03/2025,Crystal Palace,1-0,0-0,Ipswich
08/03/2025,Liverpool,3-1,0-1,Southampton
08/03/2025,Brentford,0-1,0-0,Aston Villa
08/03/2025,Wolves,1-1,1-1,Everton
09/03/2025,Chelsea,1-0,0-0,Leicester
09/03/2025,Tottenham,2-2,0-1,Bournemouth
09/03/2025,Man United,1-1,1-0,Arsenal
10/03/2025,West Ham,0-1,0-0,Newcastle
15/03/2025,Everton,1-1,0-0,West Ham
15/03/2025,Ipswich,2-4,0-3,Nott'm Forest
15/03/2025,Man City,2-2,2-1,Brighton
15/03/2025,Southampton,1-2,0-1,Wolves
15/03/2025,Bournemouth,1-2,1-1,Brentford
16/03/2025,Arsenal,1-0,1-0,Chelsea
16/03/2025,Fulham,2-0,0-0,Tottenham
16/03/2025,Leicester,0-3,0-1,Man United
01/04/2025,Arsenal,2-1,1-0,Fulham
01/04/2025,Wolves,1-0,1-0,West Ham
01/04/2025,Nott'm Forest,1-0,1-0,Man United
02/04/2025,Bournemouth,1-2,0-1,Ipswich
02/04/2025,Brighton,0-3,0-0,Aston Villa
02/04/2025,Man City,2-0,2-0,Leicester
